,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
31,2021-7-19,5,8,6.76,6.75,6.72,6.72,6.63,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.18,0.21,0.21,0.05,-0.04,0.14,1,2,3,4,5,6,晴,32.5,9,2.0,28.5,2.0
32,2021-7-19,5,9,6.8,6.85,6.81,6.85,6.82,6.79,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.04,0.02,0.05,0.13,0.11,-0.02,1,2,3,4,5,6,晴,32.5,7,2.0,28.5,2.0
33,2021-7-19,5,10,6.67,6.7,6.68,6.75,6.63,6.88,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.28,0.25,0.12,0.34,0.11,0.3,1,2,3,4,5,6,晴,32.0,9,2.0,28.5,2.0
34,2021-7-19,5,11,6.69,6.79,6.72,6.68,6.83,6.69,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.2,0.22,0.08,0.06,0.09,0.0,1,3,4,5,2,6,晴,31.5,11,3.0,28.5,2.0
35,2021-7-19,5,12,6.69,6.69,6.96,6.75,6.75,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.26,0.16,0.11,0.03,0.04,0.08,1,2,3,5,6,4,晴,31.0,7,3.0,28.5,2.0
36,2021-7-19,6,1,6.68,6.75,6.73,6.72,6.68,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.05,-0.08,0.01,0.34,-0.05,-0.06,1,2,3,4,5,6,晴,28.0,13,4.0,29.0,2.0
37,2021-7-19,6,2,6.64,6.68,6.69,6.65,6.78,6.7,-0.5,0.0,0.0,-0.5,-0.5,-0.5,0.07,0.19,-0.09,0.03,0.23,-0.1,1,2,5,6,3,4,晴,28.0,13,5.0,29.0,3.0
38,2021-7-19,6,3,6.68,6.59,6.67,6.65,6.68,6.66,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.07,0.21,0.05,0.1,0.11,0.16,1,2,3,4,5,6,晴,29.0,13,5.0,29.0,3.0
39,2021-7-19,6,4,6.7,6.69,6.64,6.65,6.74,6.66,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.15,0.15,0.14,0.06,-0.25,0.11,1,2,3,4,6,5,晴,28.0,13,5.0,29.0,3.0
40,2021-7-19,6,5,6.69,6.6,6.65,6.69,6.69,6.67,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.18,0.01,0.05,0.01,0.09,1,2,3,4,5,6,晴,28.0,13,5.0,29.0,3.0
41,2021-7-19,6,6,6.64,6.67,6.72,6.69,6.64,6.6,-0.5,-0.5,0.0,-0.5,-0.5,0.0,-0.11,0.05,0.0,0.07,0.27,0.11,1,2,3,4,5,6,晴,28.0,13,5.0,29.0,3.0
42,2021-7-19,6,7,6.69,6.73,6.63,6.7,6.68,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.03,-0.01,0.1,0.09,0.11,1,2,3,4,6,5,晴,28.0,13,5.0,29.0,3.0
43,2021-7-19,6,8,6.6,6.61,6.66,6.63,6.67,6.67,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.35,0.15,0.12,-0.03,0.05,-0.04,1,2,3,4,5,6,晴,28.0,13,5.0,29.0,3.0
44,2021-7-19,6,9,6.7,6.68,6.67,6.78,6.7,6.64,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.1,-0.05,-0.11,-0.12,-0.04,-0.05,1,2,3,4,5,6,晴,29.0,13,5.0,29.0,3.0
45,2021-7-19,6,10,6.72,6.77,6.68,6.68,6.75,6.64,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.04,0.09,0.1,0.05,0.05,0.0,1,2,3,4,5,6,晴,28.0,13,5.0,29.0,3.0
46,2021-7-19,6,11,6.65,6.67,6.76,6.76,6.69,6.87,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.2,-0.15,-0.17,0.18,0.16,0.0,1,2,3,5,6,4,晴,28.0,13,5.0,29.0,3.0
47,2021-7-19,6,12,6.73,6.67,6.77,6.75,6.72,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.09,0.16,0.06,0.1,0.08,0.04,1,2,3,4,5,6,晴,28.0,13,5.0,29.0,3.0
48,2021-7-19,7,1,6.68,6.71,6.67,6.75,6.63,6.62,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.33,0.37,0.1,0.06,0.1,0.05,1,2,3,4,5,6,晴,28.0,9,3.0,26.0,1.0
49,2021-7-19,7,2,6.65,6.69,6.68,6.62,6.61,6.59,-0.5,0.0,-0.5,0.5,0.0,0.0,0.01,0.01,0.05,0.05,0.14,0.17,1,2,3,4,5,6,晴,33.0,11,4.0,26.0,2.0
50,2021-7-19,7,3,6.69,6.63,6.62,6.7,6.72,6.66,-0.5,-0.5,0.0,0.0,0.0,-0.5,0.05,-0.04,0.0,0.28,0.18,0.14,1,2,3,4,5,6,晴,32.0,11,4.0,26.0,2.0
51,2021-7-19,7,4,6.67,6.68,6.68,6.63,6.63,6.63,-0.5,-0.5,0.0,0.0,0.0,-0.5,0.08,0.01,0.02,0.18,0.08,0.08,1,2,3,4,5,6,晴,32.0,11,4.0,26.0,2.0
52,2021-7-19,7,5,6.68,6.73,6.7,6.71,6.69,6.68,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,-0.07,-0.01,0.03,-0.08,0.07,1,2,3,4,5,6,晴,31.0,11,4.0,26.0,2.0
53,2021-7-19,7,6,6.63,6.65,6.68,6.61,6.61,6.73,-0.5,0.0,-0.5,0.0,0.0,-0.5,0.19,0.05,0.1,0.08,-0.02,0.08,1,3,4,5,6,2,晴,31.0,11,4.0,26.0,2.0
54,2021-7-19,7,7,6.58,6.7,6.64,6.64,6.65,6.7,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.05,0.2,0.19,0.19,0.21,0.25,1,2,3,4,5,6,晴,30.0,11,4.0,26.0,2.0
55,2021-7-19,7,8,6.64,6.64,6.65,6.61,6.68,6.67,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.19,0.15,0.13,0.15,0.02,1,2,3,5,6,4,晴,30.0,11,3.0,26.0,1.0
56,2021-7-19,7,9,6.67,6.75,6.73,6.74,6.68,6.73,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.14,0.09,0.08,0.07,0.04,0.04,1,2,3,4,5,6,晴,29.0,9,3.0,26.0,1.0
57,2021-7-19,7,10,6.75,6.82,6.88,6.86,6.84,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.07,0.05,-0.02,-0.03,0.09,-0.01,1,2,3,4,5,6,晴,29.0,9,2.0,26.0,1.0
58,2021-7-19,7,11,6.83,6.78,6.76,6.85,6.81,6.79,-0.5,0.0,-0.5,-0.5,0.0,-0.5,-0.06,0.02,-0.01,0.12,0.05,0.11,1,2,3,4,5,6,晴,28.0,9,2.0,26.0,1.0
59,2021-7-19,7,12,6.75,6.78,6.74,6.69,6.82,6.77,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.06,0.05,0.02,0.11,0.06,0.09,1,2,3,4,5,6,晴,28.0,9,2.0,26.0,1.0
60,2021-7-19,8,1,6.73,6.67,6.75,6.65,6.8,6.69,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.22,0.08,0.09,0.17,0.12,0.11,1,2,3,4,5,6,晴,31.0,7,3.0,29.0,2.0
61,2021-7-19,8,2,6.7,6.73,6.71,6.73,6.76,6.69,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-0.08,0.0,0.17,0.16,0.18,0.25,1,2,3,4,5,6,晴,28.0,11,2.0,29.0,1.0
62,2021-7-19,8,3,6.7,6.74,6.8,6.74,6.68,6.7,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.14,0.08,0.1,0.19,0.23,0.13,1,2,3,4,6,5,晴,29.0,11,2.0,29.0,1.0
63,2021-7-19,8,4,6.72,6.77,6.74,6.7,6.7,6.69,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.04,0.01,0.05,0.06,0.0,0.03,1,2,3,4,5,6,晴,29.0,9,2.0,29.0,1.0
64,2021-7-19,8,5,6.69,6.69,6.68,6.71,6.76,6.86,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.02,-0.02,0.13,0.1,0.11,0.15,1,2,3,4,5,6,晴,29.0,11,2.0,29.0,1.0
65,2021-7-19,8,6,6.73,6.75,6.77,6.74,6.72,6.76,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.1,0.24,0.29,0.13,0.06,0.23,1,2,3,4,6,5,晴,30.0,11,2.0,29.0,1.0
66,2021-7-19,8,7,6.75,6.7,6.82,6.74,6.8,6.72,-0.5,-0.5,0.0,-0.5,0.0,-0.5,0.03,0.03,0.19,-0.01,0.28,0.08,1,2,3,4,6,5,晴,30.0,9,2.0,29.0,1.0
